item_id,count
10049729,113096
10035570,106630
10066894,99827
10113998,95856
10090013,90531
10049771,86736
10164248,80118
10154869,80012
10049750,79737
10164247,77203
10088241,74058
10090005,73545
10036579,69868
10164249,68971
10163896,63258
10160792,57629
10154865,53791
10154862,52764
10109256,52099
10109825,51328
10104936,46873
10049708,46611
10164250,45527
10109955,45416
10106970,43656
10035578,40708
10049772,40326
10080902,37119
10078138,34724
10147437,34549
10160633,34161
10140984,32984
10109824,31793
10160789,31496
10108662,31129
10058952,28681
10092660,28359
10104976,25369
10049569,24607
10092701,22988
10135181,21629
10160269,21525
10103296,20979
10049730,20781
10113950,20060
10106971,19927
10036578,19072
10156584,19017
10105930,18662
10160790,18556
10165484,18100
10049709,17172
10092699,16860
10143390,16195
10113996,15783
10156579,15664
10083750,15180
10105929,14997
10146606,14692
10168062,14347
10035580,14299
10154858,13955
10105962,13120
10165130,13040
10154203,12574
10094282,12278
10041961,12005
10064028,11785
10092661,11601
10155515,11465
10213619,11453
10035569,11160
10049751,10532
10170381,10091
10163113,10091
10109519,9905
10064029,9899
10165129,9895
10088242,9872
10170324,9549
10168622,9120
10092693,8986
10156557,8887
10093218,8741
10094283,8740
10163897,8496
10092694,8472
10096201,8364
10053746,8266
10152381,8179
10146632,7985
10104937,7880
10160271,7835
10094148,7744
10138559,7457
10091326,7427
10041969,7423
10088236,7319
10160282,7264
10156218,6868
10154202,6630
10213519,6617
10092697,6471
10180285,6266
10146602,5849
10133004,5784
10109257,5777
10145054,5528
10094421,5478
10096199,5444
10156447,5311
10041965,5308
10152217,5120
10168623,5103
10146633,4877
10152327,4832
10129294,4814
10109520,4796
10090014,4681
10135208,4434
10091323,4412
10092695,4173
10120383,4156
10156582,3934
10160281,3928
10146472,3730
10165829,3714
10020713,3585
10165697,3577
10167345,3577
10152383,3370
10094284,3349
10146603,3321
10146471,3104
10160202,3087
10160201,3058
10063478,2960
10083751,2871
10083749,2793
10146624,2719
10156558,2668
10154851,2620
10165831,2590
10152382,2583
10165832,2577
10160705,2507
10146605,2484
10090015,2422
10105963,2289
10114703,2086
10145052,2078
10051634,2037
10165480,1984
10165482,1940
10165701,1708
10165830,1686
10165296,1630
10023684,1584
10118506,1555
10152703,1514
10152560,1513
10087645,1505
10049627,1263
10095999,1191
10165297,1085
10036259,1039
10109521,1026
10130642,1016
10023682,956
10146501,911
10048969,907
10152702,903
10152602,897
10152701,857
10165698,822
10152697,704
10130639,601
10094423,535
10146623,501
10152559,450
10130638,448
10085009,414
10110102,359
10137444,357
10085008,251
10152604,243
10095148,237
10152606,184
10130637,182
10130641,168
10168749,131
10130640,129
10105961,93
10153736,80
10142434,65
10073895,37
10049628,16
10023689,13
10085007,11
10152577,2
10160283,2
10118505,1
